movieId,title,pub,play
1,名侦探柯南：引爆摩天楼,1997年4月19日,ss33542
2,名侦探柯南：第十四个目标,1998年4月18日,ss33543
3,名侦探柯南：世纪末的魔术师,1999年4月17日,ss33539
4,名侦探柯南：瞳孔中的暗杀者,2000年4月22日,ss5365
5,名侦探柯南：通往天国的倒计时,2001年4月21日,ss5316
6,名侦探柯南：贝克街的亡灵,2002年4月20日,ss5234
7,名侦探柯南：迷宫的十字路口,2003年4月19日,ss5156
8,名侦探柯南：银翼的魔术师,2004年4月17日,ss5142
9,名侦探柯南：水平线上的阴谋,2005年4月9日,ss5085
10,名侦探柯南：侦探们的镇魂歌,2006年4月15日,ss4920
11,名侦探柯南：绀碧之棺,2007年4月21日,ss4787
12,名侦探柯南：战栗的乐谱,2008年4月19日,ss4784
13,名侦探柯南：漆黑的追踪者,2009年4月18日,ss4724
14,名侦探柯南：天空的遇难船,2010年4月17日,ss4666
15,名侦探柯南：沉默的15分钟,2011年4月16日,ss4518
16,名侦探柯南：第11位前锋,2012年4月14日,ss4548
17,名侦探柯南：绝海的侦探,2013年4月20日,ss4439
18,名侦探柯南：异次元的狙击手,2014年4月19日,ss4198
19,名侦探柯南：业火的向日葵,2015年4月18日,ss4199
20,名侦探柯南：纯黑的恶梦,2016年4月16日,ss6365
21,名侦探柯南：唐红的恋歌,2017年4月15日,ss24694
22,名侦探柯南：零的执行人,2018年4月13日,
23,名侦探柯南：绀青之拳,2019年4月12日,ss28872
24,名侦探柯南：绯色的弹丸,2021年4月16日,
1001,鲁邦三世VS名侦探柯南,2009年3月27日,ss33380
1002,江户川柯南失踪事件～史上最糟糕的两天～,2014年12月26日,ss33381
1003,Episode''ONE'' 变小的名侦探,2016年12月9日,ss33382
